transaction_id,cardholder_id,timestamp,amount,merchant_category,merchant_id,merchant_name,city
TX_006127,CH_0016,2026-01-01 00:06:21,229.73,Gas/Travel,M_8105,DeltaAir,San Diego
TX_004093,CH_0715,2026-01-01 00:10:57,170.31,Grocery,M_8505,FreshMart,San Jose
TX_000366,CH_0914,2026-01-01 00:16:44,179.16,Digital Services,M_7665,GooglePlay,Philadelphia
TX_011059,CH_0362,2026-01-01 00:18:00,176.59,Digital Services,M_5255,AmazonCloud,San Jose
TX_005554,CH_0699,2026-01-01 00:33:19,100.5,Entertainment,M_9172,NetflixInc,San Antonio
TX_003016,CH_0288,2026-01-01 00:41:33,64.58,Gas/Travel,M_9191,ChevronStation,New York
TX_016238,CH_0619,2026-01-01 00:43:57,125.27,Entertainment,M_9172,NetflixInc,San Diego
TX_012509,CH_0596,2026-01-01 00:50:01,121.9,Entertainment,M_9172,NetflixInc,Houston
TX_011166,CH_0702,2026-01-01 00:57:53,37.13,Digital Services,M_7665,GooglePlay,New York
TX_011636,CH_0177,2026-01-01 01:12:03,99.08,Grocery,M_8505,FreshMart,Houston
TX_VEL_020910,CH_0337,2026-01-01 01:19:48,144.77,Digital Services,M_9999,SteamGames,Dallas
TX_VEL_020911,CH_0337,2026-01-01 01:20:33,104.3,Digital Services,M_9999,SteamGames,Dallas
TX_VEL_020912,CH_0337,2026-01-01 01:21:18,107.64,Digital Services,M_9999,SteamGames,Dallas
TX_VEL_020913,CH_0337,2026-01-01 01:22:03,140.25,Digital Services,M_9999,SteamGames,Dallas
TX_002853,CH_0854,2026-01-01 01:23:02,267.42,Digital Services,M_5656,AppleStore,Dallas
TX_010946,CH_0382,2026-01-01 01:36:26,103.73,Entertainment,M_4235,TicketMaster,Los Angeles
TX_019414,CH_0590,2026-01-01 01:39:54,259.12,Entertainment,M_4235,TicketMaster,Chicago
TX_000257,CH_0164,2026-01-01 01:55:01,192.49,Retail,M_0439,WalmartDirect,Dallas
TX_009574,CH_0814,2026-01-01 01:59:43,299.85,Grocery,M_8505,FreshMart,San Diego
TX_012099,CH_0782,2026-01-01 02:10:40,68.09,Retail,M_0750,NordstromStyle,Chicago
TX_008836,CH_0779,2026-01-01 02:12:53,144.38,Grocery,M_9638,DailyGrocer,San Jose
TX_005926,CH_0707,2026-01-01 02:24:04,199.49,Digital Services,M_5656,AppleStore,New York
TX_003897,CH_0662,2026-01-01 02:24:39,140.01,Digital Services,M_7665,GooglePlay,Dallas
TX_006386,CH_0771,2026-01-01 02:27:46,254.42,Entertainment,M_8473,SpotifyMusic,Chicago
TX_001669,CH_0510,2026-01-01 02:28:11,74.32,Grocery,M_8505,FreshMart,Houston
TX_019985,CH_0721,2026-01-01 02:30:43,24.45,Retail,M_3476,MacyShop,New York
TX_006276,CH_0262,2026-01-01 02:40:33,285.52,Grocery,M_1888,WholeFoodsCo,Philadelphia
TX_000958,CH_0962,2026-01-01 02:40:41,37.51,Retail,M_3476,MacyShop,San Antonio
TX_008286,CH_0660,2026-01-01 02:41:31,25.33,Gas/Travel,M_8105,DeltaAir,San Jose
TX_003782,CH_0167,2026-01-01 03:06:03,132.67,Gas/Travel,M_6552,ShellGas,Houston
TX_003013,CH_0092,2026-01-01 03:06:23,57.31,Retail,M_0750,NordstromStyle,Houston
TX_004986,CH_0921,2026-01-01 03:42:57,29.07,Gas/Travel,M_9191,ChevronStation,Phoenix
TX_014652,CH_0584,2026-01-01 03:43:39,203.86,Entertainment,M_4235,TicketMaster,Dallas
TX_011066,CH_0983,2026-01-01 03:49:22,116.28,Grocery,M_8505,FreshMart,Phoenix
TX_012664,CH_0255,2026-01-01 03:53:42,65.09,Gas/Travel,M_9191,ChevronStation,Houston
TX_010986,CH_0110,2026-01-01 03:57:10,270.39,Entertainment,M_1632,AMCTheaters,San Jose
TX_009737,CH_0962,2026-01-01 03:58:21,257.15,Digital Services,M_7665,GooglePlay,Chicago
TX_005747,CH_0078,2026-01-01 04:03:19,75.98,Retail,M_0439,WalmartDirect,Dallas
TX_006392,CH_0112,2026-01-01 04:18:29,241.87,Gas/Travel,M_0100,UberRide,New York
TX_011650,CH_0101,2026-01-01 04:22:07,33.79,Gas/Travel,M_9191,ChevronStation,San Jose
TX_008372,CH_0393,2026-01-01 04:28:27,28.07,Entertainment,M_8473,SpotifyMusic,San Jose
TX_013996,CH_0296,2026-01-01 04:38:20,252.88,Entertainment,M_1632,AMCTheaters,Dallas
TX_005603,CH_0664,2026-01-01 04:47:26,272.64,Gas/Travel,M_9191,ChevronStation,Chicago
TX_005453,CH_0497,2026-01-01 04:54:52,24.17,Digital Services,M_5656,AppleStore,Houston
TX_011710,CH_0201,2026-01-01 05:08:57,110.64,Grocery,M_1888,WholeFoodsCo,Chicago
